flod,model,MAE,RMSE,R2,MAPE
0,AutoML,420.3313863568401,636.9262531262821,0.9621346007647046,0.0021852034073450255
0,TabPFN,46.978515625,89.68630780321513,0.9992492133692321,0.00024382123669714097
1,AutoML,177.34348658973175,256.9314908646531,0.9937183273261425,0.0009259565953460664
1,TabPFN,38.126171875,72.63957121230963,0.9994979035250684,0.00019960053298339573
2,AutoML,198.6455891358506,261.53902883307666,0.9891285073972674,0.001031374236255969
2,TabPFN,35.848828125,58.948800789345604,0.9994477113600374,0.0001871916437947446
3,AutoML,356.4924832033088,846.6009895412789,0.9203199952000999,0.0018765150136457326
3,TabPFN,186.08828125,868.7174592461139,0.9161025216121275,0.0009830723979377346
4,AutoML,354.0633991864714,565.3664203293099,0.9644229380380785,0.0018454904565921605
4,TabPFN,49.6046875,112.31314093184538,0.9985959867530552,0.00025691369728492565
5,AutoML,287.1654043861956,381.2347888019484,0.9854929150343965,0.001502727980466181
5,TabPFN,26.539453125,42.514927367599554,0.9998195827791244,0.00013831124998565036
6,AutoML,325.60843772807493,637.3784237684754,0.959582312236269,0.0016925882041191284
6,TabPFN,160.384765625,725.5259003972337,0.9476299979974923,0.0008276425024299656
7,AutoML,306.2414716879677,400.33119496532476,0.9833802728440959,0.0016035817546195743
7,TabPFN,36.75234375,52.061188951267056,0.9997189308449018,0.00019277058815607575
8,AutoML,226.49148106006106,294.223351719243,0.9898064141273286,0.0011819096671153492
8,TabPFN,29.148828125,42.54114642795016,0.9997868962522373,0.00015230106522706174
9,AutoML,269.70053537441856,372.5868984572036,0.9892728451174826,0.0014268812208310861
9,TabPFN,40.4953125,55.560693824341215,0.9997614580785331,0.00021309154305101108
